experiment	cell	reads	length	unique	multimap	nomap	exonic	intronic	intergenic	rpkm1	max-correlation
SS2_15_0049	SS2_15_0049_M15	504179	43	59.3	14.0	26.7	73.7	5.3	21.1	5719	0.64
SS2_15_0049	SS2_15_0049_M16	1979165	43	76.3	16.5	7.2	77.5	3.0	19.5	6389	0.67
SS2_15_0049	SS2_15_0049_M17	607243	43	57.8	14.0	28.2	73.3	10.6	16.2	5364	0.62
SS2_15_0049	SS2_15_0049_M18	1558885	43	57.6	10.8	31.5	74.7	5.3	20.0	3397	0.53
SS2_15_0049	SS2_15_0049_M19	559746	43	44.4	18.6	37.0	60.4	14.4	25.1	5844	0.63
SS2_15_0049	SS2_15_0049_M2	757310	43	56.2	10.8	33.0	73.3	5.4	21.2	4129	0.57
SS2_15_0049	SS2_15_0049_M20	475043	43	21.0	11.9	67.1	58.9	4.3	36.8	1074	0.31
SS2_15_0049	SS2_15_0049_M21	692259	43	32.9	15.5	51.6	63.0	7.6	29.4	2337	0.44
SS2_15_0049	SS2_15_0049_M22	545217	43	61.8	17.8	20.5	71.4	11.2	17.4	6273	0.67
SS2_15_0049	SS2_15_0049_M23	641843	43	60.9	13.4	25.6	72.3	13.0	14.7	5703	0.64
SS2_15_0049	SS2_15_0049_M24	650172	43	14.6	3.5	81.9	39.9	6.0	54.2	789	0.30
SS2_15_0049	SS2_15_0049_M3	761842	43	67.2	12.5	20.3	60.8	20.2	19.0	6222	0.64
SS2_15_0049	SS2_15_0049_M4	470331	43	29.1	7.6	63.3	64.1	5.8	30.1	1675	0.40
SS2_15_0049	SS2_15_0049_M5	597003	43	22.1	4.3	73.6	57.9	3.1	39.0	1332	0.33
SS2_15_0049	SS2_15_0049_M6	708982	43	50.4	14.1	35.4	69.9	6.4	23.7	4144	0.55
SS2_15_0049	SS2_15_0049_M7	887308	43	29.6	10.1	60.4	57.2	9.1	33.7	2613	0.47
SS2_15_0049	SS2_15_0049_M8	483909	43	53.6	12.7	33.7	70.1	6.4	23.5	4607	0.58
SS2_15_0049	SS2_15_0049_M9	1075800	43	58.4	12.9	28.7	72.8	5.4	21.9	4843	0.60
SS2_15_0049	SS2_15_0049_N1	564543	43	44.6	9.1	46.2	69.1	15.9	15.0	3579	0.52
SS2_15_0049	SS2_15_0049_N10	412277	43	45.8	15.2	39.0	59.8	13.9	26.2	3585	0.53
SS2_15_0049	SS2_15_0049_N11	642025	43	53.4	14.7	31.9	70.9	6.3	22.8	5078	0.62
SS2_15_0049	SS2_15_0049_N12	622743	43	45.5	10.4	44.1	69.7	4.4	26.0	3799	0.55
SS2_15_0049	SS2_15_0049_N13	563544	43	51.8	14.1	34.1	67.8	8.4	23.7	4583	0.58
SS2_15_0049	SS2_15_0049_N14	316013	43	42.6	12.9	44.4	64.5	9.8	25.6	3295	0.52
SS2_15_0049	SS2_15_0049_N15	309281	43	56.9	13.4	29.8	71.1	7.1	21.9	5169	0.61
SS2_15_0049	SS2_15_0049_N16	336930	43	44.8	12.0	43.2	63.0	20.5	16.5	3724	0.55
SS2_15_0049	SS2_15_0049_N17	215777	43	51.5	14.9	33.6	69.2	14.2	16.6	4063	0.56
SS2_15_0049	SS2_15_0049_N18	301531	43	60.2	15.6	24.2	71.5	12.7	15.8	5519	0.63
SS2_15_0049	SS2_15_0049_N19	357839	43	61.8	12.7	25.5	73.1	6.9	20.0	5489	0.62
SS2_15_0049	SS2_15_0049_N2	646281	43	49.8	12.8	37.4	72.2	4.5	23.2	4077	0.54
SS2_15_0049	SS2_15_0049_N20	202183	43	23.6	7.1	69.3	48.7	9.4	41.9	825	0.29
SS2_15_0049	SS2_15_0049_N21	229636	43	23.8	12.1	64.1	32.0	16.0	51.9	2899	0.46
SS2_15_0049	SS2_15_0049_N22	611303	43	44.4	12.2	43.3	68.2	6.9	24.9	4587	0.58
SS2_15_0049	SS2_15_0049_N23	488591	43	55.7	14.1	30.1	71.7	5.5	22.8	4989	0.61
SS2_15_0049	SS2_15_0049_N24	289561	43	17.1	5.9	77.0	36.7	5.2	58.1	894	0.36
SS2_15_0049	SS2_15_0049_N3	588527	43	48.9	13.0	38.1	69.1	4.6	26.3	3941	0.56
SS2_15_0049	SS2_15_0049_N4	268583	43	18.6	4.3	77.1	47.7	4.4	48.0	723	0.28
SS2_15_0049	SS2_15_0049_N5	453244	43	43.9	10.1	46.0	66.1	7.6	26.4	3640	0.52
SS2_15_0049	SS2_15_0049_N6	481791	43	65.1	13.9	21.0	75.0	5.2	19.8	6165	0.66
SS2_15_0049	SS2_15_0049_N7	544579	43	46.4	11.9	41.7	66.8	6.0	27.2	3793	0.54
SS2_15_0049	SS2_15_0049_N8	222072	43	40.9	16.2	42.9	63.0	8.2	28.7	2944	0.49
SS2_15_0049	SS2_15_0049_N9	463914	43	14.9	5.9	79.1	17.9	13.7	68.4	2449	0.47
SS2_15_0049	SS2_15_0049_O1	739349	43	57.3	12.3	30.4	74.0	4.5	21.5	5209	0.62
SS2_15_0049	SS2_15_0049_O10	675239	43	57.1	11.2	31.7	73.6	4.6	21.8	4640	0.59
SS2_15_0049	SS2_15_0049_O11	536200	43	50.4	9.8	39.8	70.3	5.1	24.5	3681	0.53
SS2_15_0049	SS2_15_0049_O12	559481	43	46.0	12.6	41.4	64.8	8.1	27.2	3907	0.54
SS2_15_0049	SS2_15_0049_O13	448461	43	25.6	28.3	46.1	65.5	2.9	31.6	1138	0.33
SS2_15_0049	SS2_15_0049_O14	576169	43	60.7	15.4	23.9	73.1	10.3	16.5	5900	0.66
SS2_15_0049	SS2_15_0049_O15	440434	43	53.8	12.8	33.4	57.7	19.8	22.5	4281	0.56
SS2_15_0049	SS2_15_0049_O16	695847	43	55.3	13.8	31.0	72.4	5.5	22.1	4929	0.60
SS2_15_0049	SS2_15_0049_O17	523305	43	49.2	14.9	35.9	78.1	6.6	15.3	4363	0.56
SS2_15_0049	SS2_15_0049_O18	567661	43	55.2	14.3	30.5	70.5	6.4	23.1	5421	0.63
SS2_15_0049	SS2_15_0049_O19	568200	43	54.7	14.6	30.7	71.0	6.2	22.8	5075	0.62
SS2_15_0049	SS2_15_0049_O2	607181	43	52.4	18.4	29.2	67.1	10.4	22.5	5026	0.56
SS2_15_0049	SS2_15_0049_O20	500320	43	46.5	9.5	44.0	70.9	5.6	23.4	3841	0.54
SS2_15_0049	SS2_15_0049_O21	777075	43	51.9	10.6	37.5	71.1	6.6	22.3	4004	0.56
SS2_15_0049	SS2_15_0049_O22	754315	43	53.9	14.1	32.1	67.8	11.8	20.4	5023	0.59
SS2_15_0049	SS2_15_0049_O23	562628	43	50.2	11.8	38.1	71.5	6.7	21.8	5287	0.61
SS2_15_0049	SS2_15_0049_O24	475122	43	20.6	3.9	75.5	50.7	4.4	44.9	612	0.29
SS2_15_0049	SS2_15_0049_O3	662555	43	53.9	12.5	33.5	70.8	5.9	23.4	4992	0.60
SS2_15_0049	SS2_15_0049_O4	239076	43	66.6	13.8	19.5	73.1	11.3	15.5	6168	0.65
SS2_15_0049	SS2_15_0049_O5	558331	43	68.2	13.0	18.9	76.1	4.2	19.7	6280	0.67
SS2_15_0049	SS2_15_0049_O6	444395	43	20.8	3.8	75.4	53.5	2.9	43.6	995	0.31
SS2_15_0049	SS2_15_0049_O7	491829	43	38.6	9.3	52.0	67.2	5.9	26.9	3946	0.54
SS2_15_0049	SS2_15_0049_O8	490254	43	53.6	12.9	33.5	71.3	6.2	22.6	4501	0.56
SS2_15_0049	SS2_15_0049_O9	898609	43	52.3	12.0	35.6	68.3	8.3	23.3	4058	0.56
SS2_15_0049	SS2_15_0049_P1	327107	43	19.3	4.5	76.2	42.6	5.7	51.7	713	0.28
SS2_15_0049	SS2_15_0049_P10	572098	43	62.1	12.8	25.1	75.4	4.1	20.5	5482	0.63
SS2_15_0049	SS2_15_0049_P11	413004	43	59.4	14.1	26.4	64.2	12.7	23.0	5502	0.60
SS2_15_0049	SS2_15_0049_P12	476040	43	48.9	11.5	39.6	69.0	5.3	25.8	4273	0.57
SS2_15_0049	SS2_15_0049_P13	606900	43	53.2	14.8	31.9	71.0	5.9	23.0	5128	0.61
SS2_15_0049	SS2_15_0049_P14	383903	43	25.1	6.6	68.4	58.8	3.1	38.0	1102	0.35
SS2_15_0049	SS2_15_0049_P15	239057	43	50.3	12.8	36.8	67.3	7.0	25.6	4147	0.55
SS2_15_0049	SS2_15_0049_P16	592892	43	44.6	9.8	45.7	67.3	7.4	25.3	3544	0.52
SS2_15_0049	SS2_15_0049_P17	479436	43	54.6	12.9	32.5	71.5	13.6	14.8	4571	0.57
SS2_15_0049	SS2_15_0049_P18	427305	43	65.6	12.5	21.9	74.0	6.3	19.6	6285	0.68
SS2_15_0049	SS2_15_0049_P19	583958	43	60.0	21.4	18.6	72.9	5.3	21.8	7034	0.73
SS2_15_0049	SS2_15_0049_P2	385645	43	63.4	19.7	16.9	72.1	6.4	21.6	7450	0.71
SS2_15_0049	SS2_15_0049_P20	318279	43	18.7	5.2	76.2	58.7	7.9	33.4	679	0.28
SS2_15_0049	SS2_15_0049_P21	552561	43	49.0	13.4	37.6	70.1	5.9	24.0	4895	0.61
SS2_15_0049	SS2_15_0049_P22	648352	43	58.3	15.9	25.8	71.8	5.4	22.8	5608	0.64
SS2_15_0049	SS2_15_0049_P23	466249	43	60.8	12.6	26.7	72.5	6.2	21.3	5859	0.65
SS2_15_0049	SS2_15_0049_P24	477047	43	18.6	4.8	76.5	51.8	3.0	45.2	498	0.27
SS2_15_0049	SS2_15_0049_P3	517532	43	55.7	16.9	27.4	70.3	13.6	16.1	5861	0.64
SS2_15_0049	SS2_15_0049_P4	280421	43	25.5	9.8	64.7	46.1	12.8	41.1	2983	0.47
SS2_15_0049	SS2_15_0049_P5	418135	43	27.7	10.0	62.3	51.3	37.7	11.0	2006	0.38
SS2_15_0049	SS2_15_0049_P6	390705	43	43.5	9.7	46.8	67.8	2.3	30.0	1357	0.41
SS2_15_0049	SS2_15_0049_P7	539365	43	61.5	9.8	28.6	67.0	13.4	19.6	5605	0.63
SS2_15_0049	SS2_15_0049_P8	329245	43	30.7	8.7	60.6	55.7	12.0	32.2	1625	0.38
SS2_15_0049	SS2_15_0049_P9	547423	43	51.6	11.7	36.6	69.1	5.8	25.1	4197	0.56
