experiment	cell	reads	length	unique	multimap	nomap	exonic	intronic	intergenic	rpkm1	max-correlation
SS2_15_0049	SS2_15_0049_F1	350312	43	45.2	8.9	45.9	65.6	6.8	27.6	3392	0.49
SS2_15_0049	SS2_15_0049_F10	680657	43	30.0	6.7	63.3	48.9	22.0	29.1	2221	0.40
SS2_15_0049	SS2_15_0049_F11	754231	43	53.7	13.3	33.0	71.3	13.3	15.4	4574	0.58
SS2_15_0049	SS2_15_0049_F12	812049	43	55.2	12.9	31.8	71.6	5.4	22.9	4847	0.60
SS2_15_0049	SS2_15_0049_F13	794100	43	58.6	13.2	28.2	72.5	5.5	22.0	5657	0.64
SS2_15_0049	SS2_15_0049_F14	468230	43	34.6	9.2	56.2	55.0	17.3	27.7	2594	0.42
SS2_15_0049	SS2_15_0049_F15	452089	43	49.7	10.7	39.6	70.2	6.4	23.4	4114	0.55
SS2_15_0049	SS2_15_0049_F16	711353	43	48.0	9.1	42.9	70.5	6.0	23.6	3635	0.52
SS2_15_0049	SS2_15_0049_F17	452729	43	48.5	9.9	41.6	67.9	6.7	25.4	3831	0.54
SS2_15_0049	SS2_15_0049_F18	412137	43	66.0	13.7	20.3	74.2	10.5	15.3	6259	0.67
SS2_15_0049	SS2_15_0049_F19	840573	43	54.8	11.3	33.9	70.0	8.7	21.3	4782	0.57
SS2_15_0049	SS2_15_0049_F2	445674	43	63.4	12.9	23.7	74.9	5.2	19.9	5748	0.64
SS2_15_0049	SS2_15_0049_F20	587653	43	52.4	12.6	35.0	69.8	8.8	21.4	3748	0.52
SS2_15_0049	SS2_15_0049_F21	866542	43	49.4	11.6	39.0	68.2	8.1	23.7	4141	0.55
SS2_15_0049	SS2_15_0049_F22	980138	43	53.6	13.0	33.4	70.6	6.5	22.9	4414	0.59
SS2_15_0049	SS2_15_0049_F23	753120	43	49.9	10.8	39.3	68.1	8.2	23.7	4175	0.56
SS2_15_0049	SS2_15_0049_F24	920809	43	44.8	10.4	44.8	68.6	7.1	24.3	3859	0.55
SS2_15_0049	SS2_15_0049_F3	802039	43	46.0	14.4	39.7	68.6	8.1	23.3	3220	0.50
SS2_15_0049	SS2_15_0049_F4	507898	43	41.2	12.0	46.8	57.7	16.7	25.6	2856	0.47
SS2_15_0049	SS2_15_0049_F5	627764	43	25.0	4.6	70.4	42.4	13.6	44.0	1916	0.32
SS2_15_0049	SS2_15_0049_F6	298528	43	54.8	14.3	30.9	68.3	5.7	26.0	4458	0.56
SS2_15_0049	SS2_15_0049_F7	849535	43	56.8	12.1	31.1	72.8	5.4	21.8	4799	0.58
SS2_15_0049	SS2_15_0049_F8	351999	43	61.4	12.7	25.9	73.6	4.9	21.5	4773	0.60
SS2_15_0049	SS2_15_0049_F9	878695	43	45.1	12.0	42.9	68.6	5.8	25.6	3701	0.53
SS2_15_0049	SS2_15_0049_G1	989017	43	44.0	8.2	47.8	68.5	7.3	24.2	3331	0.50
SS2_15_0049	SS2_15_0049_G10	1010038	43	57.2	13.7	29.1	71.6	7.4	21.0	4941	0.59
SS2_15_0049	SS2_15_0049_G11	923951	43	64.2	12.6	23.1	73.9	6.0	20.0	5723	0.63
SS2_15_0049	SS2_15_0049_G12	957254	43	69.0	14.5	16.5	73.6	7.2	19.2	6729	0.68
SS2_15_0049	SS2_15_0049_G13	1041128	43	54.9	14.2	30.9	71.5	5.1	23.4	4756	0.60
SS2_15_0049	SS2_15_0049_G14	506902	43	51.0	8.8	40.2	52.0	26.6	21.5	3364	0.47
SS2_15_0049	SS2_15_0049_G15	505404	43	62.6	14.7	22.7	72.5	6.0	21.6	5835	0.64
SS2_15_0049	SS2_15_0049_G16	728081	43	39.4	8.7	51.9	67.6	7.2	25.2	3418	0.50
SS2_15_0049	SS2_15_0049_G17	626103	43	64.6	12.5	22.9	74.7	7.3	18.0	5795	0.63
SS2_15_0049	SS2_15_0049_G18	659035	43	61.4	13.6	24.9	64.2	14.0	21.9	6134	0.62
SS2_15_0049	SS2_15_0049_G19	921409	43	50.8	11.9	37.3	66.3	9.6	24.1	4168	0.54
SS2_15_0049	SS2_15_0049_G2	626078	43	53.2	10.8	36.0	75.4	2.4	22.2	4092	0.57
SS2_15_0049	SS2_15_0049_G20	491377	43	68.9	13.6	17.6	74.4	9.6	16.0	6477	0.67
SS2_15_0049	SS2_15_0049_G21	1021582	43	56.4	13.4	30.1	71.6	7.2	21.2	5063	0.60
SS2_15_0049	SS2_15_0049_G22	1014099	43	55.0	13.7	31.4	71.5	5.9	22.7	4973	0.60
SS2_15_0049	SS2_15_0049_G23	818664	43	34.7	11.1	54.2	63.0	7.3	29.7	3716	0.51
SS2_15_0049	SS2_15_0049_G24	1017493	43	47.2	9.8	43.0	69.2	6.9	24.0	3934	0.53
SS2_15_0049	SS2_15_0049_G3	839966	43	64.6	15.4	19.9	73.6	10.6	15.8	6054	0.64
SS2_15_0049	SS2_15_0049_G4	681467	43	59.8	14.2	25.9	74.2	5.2	20.7	5285	0.62
SS2_15_0049	SS2_15_0049_G5	622692	43	53.3	16.9	29.8	71.2	5.9	22.9	5008	0.62
SS2_15_0049	SS2_15_0049_G6	817133	43	57.8	13.0	29.2	71.8	6.3	21.9	4712	0.62
SS2_15_0049	SS2_15_0049_G7	1043599	43	42.3	10.5	47.2	66.8	7.5	25.7	3817	0.54
SS2_15_0049	SS2_15_0049_G8	629469	43	54.6	11.1	34.3	72.4	5.2	22.4	4352	0.57
SS2_15_0049	SS2_15_0049_G9	1166348	43	55.9	10.6	33.5	69.7	9.8	20.6	4730	0.57
SS2_15_0049	SS2_15_0049_H1	651978	43	34.5	8.9	56.6	47.8	22.4	29.8	2635	0.43
SS2_15_0049	SS2_15_0049_H10	785516	43	58.1	13.8	28.1	73.2	5.0	21.8	5001	0.61
SS2_15_0049	SS2_15_0049_H11	875328	43	58.1	16.5	25.3	73.3	5.6	21.1	5252	0.62
SS2_15_0049	SS2_15_0049_H12	909342	43	51.4	10.8	37.8	70.0	6.9	23.1	4321	0.57
SS2_15_0049	SS2_15_0049_H13	804214	43	39.7	7.7	52.7	66.7	7.6	25.6	3392	0.50
SS2_15_0049	SS2_15_0049_H14	440919	43	44.7	11.8	43.5	68.0	10.9	21.1	3817	0.53
SS2_15_0049	SS2_15_0049_H15	597172	43	50.2	10.0	39.9	71.2	5.3	23.5	3703	0.54
SS2_15_0049	SS2_15_0049_H16	853926	43	49.7	13.0	37.3	70.4	7.0	22.6	4169	0.56
SS2_15_0049	SS2_15_0049_H17	642012	43	55.8	11.9	32.3	71.6	6.3	22.1	4763	0.58
SS2_15_0049	SS2_15_0049_H18	711333	43	24.4	29.4	46.2	68.4	3.0	28.6	1585	0.37
SS2_15_0049	SS2_15_0049_H19	885725	43	55.8	12.0	32.2	70.8	6.6	22.6	4697	0.59
SS2_15_0049	SS2_15_0049_H2	698971	43	55.7	13.3	31.0	70.5	8.3	21.2	4820	0.58
SS2_15_0049	SS2_15_0049_H20	687497	43	45.2	9.3	45.6	69.4	6.6	23.9	3580	0.51
SS2_15_0049	SS2_15_0049_H21	1050656	43	46.5	11.4	42.1	71.0	5.6	23.4	3752	0.55
SS2_15_0049	SS2_15_0049_H22	1001704	43	46.0	9.7	44.4	69.5	6.6	23.9	3550	0.52
SS2_15_0049	SS2_15_0049_H23	837606	43	65.8	14.7	19.4	74.5	5.8	19.7	6920	0.68
SS2_15_0049	SS2_15_0049_H24	1032821	43	50.5	11.4	38.0	70.5	6.4	23.0	4421	0.57
SS2_15_0049	SS2_15_0049_H3	900183	43	53.2	12.0	34.8	71.7	6.1	22.3	4869	0.60
SS2_15_0049	SS2_15_0049_H4	427599	43	23.1	29.6	47.3	69.2	2.1	28.6	953	0.32
SS2_15_0049	SS2_15_0049_H5	885188	43	49.2	8.5	42.3	72.5	5.4	22.1	4749	0.58
SS2_15_0049	SS2_15_0049_H6	754362	43	22.9	29.8	47.4	68.3	2.9	28.8	1208	0.35
SS2_15_0049	SS2_15_0049_H7	932182	43	62.9	12.2	24.9	68.6	10.9	20.4	5247	0.62
SS2_15_0049	SS2_15_0049_H8	533435	43	57.3	12.4	30.3	70.2	7.3	22.5	4753	0.58
SS2_15_0049	SS2_15_0049_H9	973331	43	63.8	11.6	24.7	71.0	8.8	20.2	5111	0.62
SS2_15_0049	SS2_15_0049_I1	513347	43	59.8	14.3	25.9	71.5	6.5	22.0	5023	0.58
SS2_15_0049	SS2_15_0049_I10	643988	43	64.5	16.7	18.8	74.3	9.9	15.8	6809	0.67
SS2_15_0049	SS2_15_0049_I11	593604	43	48.7	10.3	41.0	68.5	7.1	24.4	3650	0.51
SS2_15_0049	SS2_15_0049_I12	616495	43	63.2	18.1	18.8	70.7	13.6	15.8	6786	0.67
SS2_15_0049	SS2_15_0049_I13	482151	43	36.8	10.6	52.6	52.5	19.6	27.8	3348	0.50
SS2_15_0049	SS2_15_0049_I14	370451	43	31.2	11.6	57.2	53.7	12.2	34.1	1625	0.32
SS2_15_0049	SS2_15_0049_I15	374236	43	61.3	14.7	24.0	71.0	13.7	15.2	5532	0.61
SS2_15_0049	SS2_15_0049_I16	648851	43	54.7	13.9	31.4	69.2	7.7	23.1	4554	0.56
SS2_15_0049	SS2_15_0049_I17	412653	43	41.6	10.2	48.2	65.9	6.9	27.2	3253	0.50
SS2_15_0049	SS2_15_0049_I18	527011	43	35.3	11.7	52.9	67.7	3.7	28.5	1884	0.44
SS2_15_0049	SS2_15_0049_I19	581640	43	53.5	13.2	33.3	72.6	7.7	19.8	4582	0.58
SS2_15_0049	SS2_15_0049_I2	494404	43	64.9	14.7	20.4	75.5	9.4	15.1	6425	0.65
SS2_15_0049	SS2_15_0049_I20	455951	43	47.2	11.2	41.5	42.7	36.8	20.5	3678	0.45
SS2_15_0049	SS2_15_0049_I21	754745	43	64.0	13.3	22.7	75.3	8.7	16.0	6160	0.67
SS2_15_0049	SS2_15_0049_I22	702565	43	61.4	16.4	22.2	69.2	15.5	15.3	6526	0.65
SS2_15_0049	SS2_15_0049_I23	626682	43	56.1	13.4	30.6	71.4	7.2	21.5	5241	0.61
SS2_15_0049	SS2_15_0049_I24	462338	43	18.2	3.7	78.1	46.6	4.7	48.7	493	0.27
